ts_event,JKHY_actual,PCG_actual,JKHY_predicted,PCG_predicted,vol_JKHY,vol_change_JKHY,vol_std_JKHY,vol_PCG,vol_change_PCG,vol_std_PCG,JKHY_trade,PCG_trade
2024-04-01 15:01:00+00:00,0.00023308665101739968,0.0,-1.2808028839773665e-05,-4.3307619634602916e-06,0.0001150524934076715,4.660701618237439e-08,7.85991533506774e-06,3.852390049967669e-05,-8.245930724265073e-07,5.946828942312892e-06,nan,nan
2024-04-01 15:02:00+00:00,0.00029128193384136416,-0.00030206917613765955,9.637590840270338e-06,-1.0874339334797772e-05,0.00010287367684564194,-1.2178816562029559e-05,7.560427629236474e-06,3.840659444290843e-05,-1.1730605676825938e-07,6.191035302595299e-06,nan,nan
2024-04-01 15:03:00+00:00,0.0,-0.0003021604494963426,-8.86953235800928e-06,2.0654917711431217e-05,0.00010136841662108212,-1.5052602245598163e-06,7.435262106021177e-06,3.803128317994831e-05,-3.753112629601178e-07,6.370127805709899e-06,nan,nan
2024-04-01 15:04:00+00:00,0.0,-0.000604594939819525,2.568785496993929e-06,2.2564419989279536e-05,9.676076646737591e-05,-4.607650153706214e-06,6.796398406415428e-06,3.8070503283414414e-05,3.922010346610376e-08,6.511773623027043e-06,nan,nan
2024-04-01 15:05:00+00:00,-0.0007575095779296138,0.0,9.605918297027552e-05,4.662956849279072e-05,9.806570324321888e-05,1.3049367758429724e-06,7.372170203957151e-06,3.949288893661412e-05,1.4223856531997038e-06,6.71370569745612e-06,nan,nan
2024-04-01 15:06:00+00:00,0.0005827505992422098,0.0,-0.0001191839503031349,7.78878631736227e-07,9.77067641704459e-05,-3.589390727729789e-07,8.045418305574988e-06,3.944893943414797e-05,-4.39495024661467e-08,6.703553528928855e-06,nan,nan
2024-04-01 15:07:00+00:00,-0.00034960960617139516,0.0003023431617890865,1.839032762065923e-05,-1.1105234374939449e-05,9.790562467901139e-05,1.988605085654862e-07,8.533803885171776e-06,3.9494666200429e-05,4.572676628103044e-08,6.6178868941405286e-06,nan,nan
2024-04-01 15:08:00+00:00,0.00011655011668204478,-0.00030234316178913786,-1.6969465521688e-05,2.325526403553122e-05,9.418482778048072e-05,-3.720796898530669e-06,9.214877066283451e-06,3.938825465279926e-05,-1.0641154762974444e-07,6.505872262132129e-06,nan,nan
2024-04-01 15:09:00+00:00,0.0013975428816310066,0.0003023431617890865,-0.00016859446959643188,-2.3159664523186735e-05,0.00010028725635602808,6.1024285755473555e-06,9.37774720182367e-06,3.942607337139499e-05,3.7818718595732895e-08,6.31239209636074e-06,P,nan
2024-04-01 15:11:00+00:00,0.0001745556109515824,0.00030225177803032687,-3.832418926742861e-05,6.502485816549353e-06,9.941584831779216e-05,-8.71408038235916e-07,9.481649337759815e-06,3.837015099734584e-05,-1.0559223740491512e-06,5.614779546806613e-06,nan,nan
2024-04-01 15:12:00+00:00,0.00011635348200916873,0.0,-6.278540351439227e-05,-7.014007906415282e-06,8.639802957682869e-05,-1.3017818740963469e-05,1.0342093894478317e-05,3.774896348092114e-05,-6.211875164246965e-07,4.339810389982445e-06,nan,nan
2024-04-01 15:14:00+00:00,-5.817504873807636e-05,-0.000604594939819525,-6.592449689794163e-06,4.699618677057885e-06,8.395782675216694e-05,-2.440202824661753e-06,1.1041443320964147e-05,3.6243632380122936e-05,-1.505331100798207e-06,2.5004092004781558e-06,nan,nan
2024-04-01 15:15:00+00:00,8.726130403021676e-05,0.000604594939819473,-1.413722093137584e-05,-1.903386812320769e-05,7.493838660996809e-05,-9.019440142198854e-06,1.2642906495498401e-05,2.9703061561775216e-05,-6.54057081834772e-06,2.779012815002421e-06,nan,nan
2024-04-01 15:16:00+00:00,8.725369015916647e-05,0.0003021604494963292,-4.170385689203128e-05,-3.0940692527010474e-05,7.13442744773635e-05,-3.5941121326045863e-06,1.3948357949907842e-05,3.0339259168946116e-05,6.361976071709002e-07,2.9321942594994416e-06,nan,nan
2024-04-01 15:19:00+00:00,0.00017448454402018665,0.0,1.2404958146194286e-05,-1.5628041395852837e-05,7.196184829379255e-05,6.17573816429049e-07,1.4765304659633589e-05,2.7945703055460926e-05,-2.3935561134851896e-06,3.5542570772901016e-06,nan,nan
2024-04-01 15:21:00+00:00,-0.001105583307749644,-0.0003021604494963426,0.00017842216021341162,-1.2753324949259684e-05,7.547363779956841e-05,3.5117895057758605e-06,1.4718784425528722e-05,2.793573677660395e-05,-9.966278856976876e-09,4.0529544284874e-06,C,nan
2024-04-01 15:22:00+00:00,0.0008729304828766389,0.0,-0.00012070765294725615,1.2374196137702963e-05,7.907418918896416e-05,3.6005513893957504e-06,1.433428233294572e-05,2.7324957916040287e-05,-6.107788605636624e-07,4.529476331812579e-06,nan,nan
2024-04-01 15:23:00+00:00,0.0009884009060724488,0.0009062075835378685,-0.00010110468481317043,-2.1517305080539208e-05,7.938346853202512e-05,3.0927934306095744e-07,1.397354037360903e-05,2.1017816317461028e-05,-6.307141598579259e-06,5.608822482754315e-06,nan,nan
2024-04-01 15:24:00+00:00,-0.00031966987093113864,-0.0003019779579039844,-1.8060283422445767e-05,2.8893933700102103e-06,7.932239367223673e-05,-6.107485978838322e-08,1.3530532919258828e-05,2.0229084671084308e-05,-7.8873164637672e-07,6.464261286742516e-06,nan,nan
2024-04-01 15:25:00+00:00,0.0,-0.0006042296256339429,-4.9874056829472555e-05,2.4012793076540136e-05,7.578690014810737e-05,-3.535493524129359e-06,1.2687681898329385e-05,1.984963141895e-05,-3.794532521343087e-07,7.105289960573028e-06,nan,nan
2024-04-01 15:26:00+00:00,0.0,0.0,3.002509621747864e-05,1.193872315169745e-06,7.66931831698359e-05,9.062830217285248e-07,1.1384578402926054e-05,1.9818745982352346e-05,-3.0885436597652996e-08,7.602051549156989e-06,nan,nan
2024-04-01 15:27:00+00:00,0.0005520928818553196,-0.000604594939819525,-0.00014433639744906358,2.7081589281312224e-05,8.106271130943228e-05,4.369528139596386e-06,1.0829753180740689e-05,2.046132351515546e-05,6.425775328031141e-07,7.910342628112313e-06,nan,nan
2024-04-01 15:28:00+00:00,-0.0002324230109242074,-0.0006049606960062162,-1.2642598345700273e-05,6.732831413502175e-06,8.101858706947717e-05,-4.4124239955117394e-08,1.025601315297023e-05,2.004644774044868e-05,-4.1487577470677916e-07,8.149469063125307e-06,nan,nan
2024-04-01 15:30:00+00:00,0.0011615752264351588,0.0,-0.0001320272553874301,3.2428242911314077e-06,8.381271459412212e-05,2.7941275246449516e-06,9.878745836172573e-06,1.945387960251332e-05,-5.925681379353624e-07,8.314933225958001e-06,nan,nan
2024-04-01 15:31:00+00:00,-0.00011609682488231944,0.0,8.113471484496739e-06,1.6587684826399198e-05,7.869298213216997e-05,-5.119732461952151e-06,9.405646458296708e-06,1.6703488482584896e-05,-2.7503911199284223e-06,8.460654035080162e-06,nan,nan
2024-04-01 15:32:00+00:00,-8.708146476522633e-05,0.0,-1.3905763823549359e-05,-3.243545709050791e-06,7.660990527550617e-05,-2.0830768566638014e-06,8.887941772671858e-06,1.671035326585427e-05,6.864783269373983e-09,8.446409223388049e-06,nan,nan
2024-04-01 15:37:00+00:00,0.0006674308513749793,-0.0006053268949969008,-0.00010580939875931135,2.0819688320256846e-05,7.71103346030001e-05,5.004293274939376e-07,8.161024530081032e-06,1.71911400075258e-05,4.807867416715309e-07,8.23673853777241e-06,nan,nan
2024-04-01 15:38:00+00:00,0.0002900484401223867,-0.00030280091071630336,-7.764061294393726e-05,2.368583187429873e-05,7.731123886131258e-05,2.0090425831247982e-07,7.61574809947794e-06,1.7220977669294983e-05,2.983766176918156e-08,7.865265435159705e-06,nan,nan
2024-04-01 15:39:00+00:00,-0.00011600928087265805,0.0015130885017194274,5.422035765974193e-06,-5.144995024970844e-05,7.216781444400664e-05,-5.143424417305948e-06,6.238164833184253e-06,2.019921857385909e-05,2.978240904564107e-06,7.178291779182139e-06,nan,nan
2024-04-01 15:40:00+00:00,5.8006322705648086e-05,0.0,1.3238583639646945e-06,-1.651570362318524e-05,7.262242679574887e-05,4.546123517422358e-07,4.176801349397931e-06,2.0428424293206677e-05,2.2920571934758712e-07,6.396081648114608e-06,nan,nan
2024-04-01 15:42:00+00:00,-0.00046414482151439123,-0.0006049606960062162,6.575446478208071e-05,5.432905639434644e-06,7.550449915815055e-05,2.8820723624016785e-06,3.667122817547057e-06,2.0448844090101775e-05,2.0419796895097906e-08,5.441886701369684e-06,nan,nan
2024-04-01 15:43:00+00:00,0.00011605640354228401,0.0,-4.0591331574124776e-05,-1.644552803252272e-05,7.540698665507053e-05,-9.751250308002307e-08,3.3187663763497576e-06,2.067766015058048e-05,2.288160604787054e-07,4.37609159296508e-06,nan,nan
2024-04-01 15:44:00+00:00,5.802315125353465e-05,0.0,-1.4389562114045297e-05,2.768368600079266e-05,7.540446860068965e-05,-2.5180543808785627e-09,3.30688065180369e-06,2.130211297199894e-05,6.244528214184601e-07,3.948262132700648e-06,nan,nan
2024-04-01 15:45:00+00:00,-0.00029014942899031985,0.0,5.061943709523277e-05,-2.8917179565166875e-05,7.735851698841758e-05,1.9540483877279356e-06,3.0491912155403147e-06,2.1150881712802988e-05,-1.512312591959521e-07,3.3217041333224095e-06,nan,nan
2024-04-01 15:46:00+00:00,-0.003080770884949923,0.0,0.0004117505246751299,-3.749440299485986e-05,0.00012444445968754907,4.7085942699131485e-05,1.0894688920028908e-05,2.2535399325968773e-05,1.384517613165785e-06,2.903633016346675e-06,C,nan
2024-04-01 15:47:00+00:00,-0.0003493653232227786,0.0,0.00011397774406257715,1.457215683128922e-05,0.00012023606107327576,-4.208398614273314e-06,1.4103278633848667e-05,2.2602708173320212e-05,6.730884735143883e-08,2.3872063383251816e-06,nan,nan
2024-04-01 15:48:00+00:00,-0.00017472844332289765,0.0,0.00010574634534618404,-4.380825344082944e-06,0.00011964611150204044,-5.899495712353129e-07,1.639876865625927e-05,2.2450848591172497e-05,-1.5185958214771524e-07,1.8072811342537554e-06,nan,nan
2024-04-01 15:49:00+00:00,-0.00011650259231449929,0.0,-7.366552081143951e-06,2.4536189826920354e-06,0.0001171165572535775,-2.529554248462937e-06,1.794025562212741e-05,2.189150222613235e-05,-5.593463650401471e-07,1.842754022710579e-06,nan,nan
2024-04-01 15:50:00+00:00,-0.0008742023460842875,0.0,0.00014911334874177017,2.6854602402894024e-05,0.00012099956305183907,3.8830057982615595e-06,1.949340632618374e-05,2.2649069089677426e-05,7.575668635450766e-07,1.931173515664291e-06,nan,nan
2024-04-01 15:51:00+00:00,0.0,0.0,0.00010008355253862309,2.0244295181618207e-06,0.00012127273216836447,2.731691165254056e-07,2.0620445852445155e-05,2.2055053703634016e-05,-5.940153860434099e-07,1.9732446089135433e-06,nan,nan
2024-04-01 15:52:00+00:00,-0.0003498950350602768,-0.0003026176449178684,6.985120151747592e-06,3.489675724896174e-05,0.00012132851400360484,5.5781835240373365e-08,2.147653823033021e-05,2.3322132265156694e-05,1.2670785615226775e-06,2.0808507447091532e-06,nan,nan
2024-04-01 15:53:00+00:00,-0.0007001575640480205,-0.00030270925007894943,4.848243075175474e-05,1.5775776508860332e-05,0.00011477304592977318,-6.5554680738316685e-06,2.185477443923896e-05,2.283143057752154e-05,-4.907016876351545e-07,2.146480803203345e-06,nan,nan
2024-04-01 15:54:00+00:00,-5.836859771106959e-05,0.0,5.232379418867997e-05,1.312618664258336e-05,0.00011432728524909095,-4.457606806822212e-07,2.2070161704980556e-05,2.2943957266548063e-05,1.125266890265239e-07,2.2046048268536626e-06,nan,nan
2024-04-01 15:56:00+00:00,0.0007585261617590378,0.0012102875910029983,-3.1953552636328325e-05,-5.968110720680286e-05,0.00010861518483017658,-5.71210041891437e-06,2.205753467579953e-05,2.681508037961524e-05,3.871123113067176e-06,2.5640352431950175e-06,nan,P
2024-04-01 15:59:00+00:00,0.0002332769591264958,-0.0006049606960062162,-3.64511777506481e-05,3.896265916925057e-05,0.00010978486067051488,1.1696758403382986e-06,2.1789885083489173e-05,2.8014689351472406e-05,1.1996089718571668e-06,2.7801017056138054e-06,nan,nan
2024-04-01 16:00:00+00:00,-0.0004082703973191616,-0.0003026176449178684,0.00011108241541708177,-9.046475700524044e-07,0.0001101611068612844,3.7624619076952344e-07,2.1293509525156626e-05,2.8003523548868378e-05,-1.1165802604027908e-08,2.8648701284948552e-06,nan,nan
2024-04-01 16:01:00+00:00,-0.001225812254010185,-0.0006055101607952051,0.00017687775820636115,3.3988053318902516e-05,0.00010784671185249749,-2.3143950087869155e-06,2.063220298514482e-05,2.865308097711548e-05,6.495574282471022e-07,2.947656083106579e-06,C,nan
2024-04-01 16:02:00+00:00,0.0005255321133477886,0.0003028009107162841,-6.211987121448934e-05,1.4189542653725888e-05,0.00010685882660043176,-9.878852520657261e-07,1.982733084006924e-05,2.833750780650586e-05,-3.155731706096205e-07,2.8857722342545735e-06,nan,nan
2024-04-01 16:04:00+00:00,-8.756950835330863e-05,0.0,1.3081281080836641e-05,-1.0523644589008279e-05,0.00010666522570345729,-1.93600896974475e-07,1.842820321600179e-05,2.5730564891514593e-05,-2.6069429149912666e-06,2.830869515405613e-06,nan,nan
2024-04-01 16:05:00+00:00,0.0010211674288889202,-0.00030280091071630336,-0.00012823671733105845,1.8899200860932474e-05,0.00011413484010653111,7.46961440307382e-06,1.685823213312512e-05,2.5552578701855955e-05,-1.77986189658638e-07,2.755575449248699e-06,nan,nan
2024-04-01 16:06:00+00:00,-0.000174983231220235,0.0003028009107162841,6.15070172271111e-05,-1.2567185129634854e-06,0.0001141162344697144,-1.860563681671068e-08,1.5177286128947591e-05,2.5583841425011645e-05,3.126272315569017e-08,2.6546212998304834e-06,nan,nan
2024-04-01 16:07:00+00:00,-0.0004667716987719211,-0.00030280091071630336,6.729804772966563e-05,2.1627865035929492e-05,0.00011193735670603122,-2.1788777636831815e-06,1.2953860960526311e-05,2.5383184184942872e-05,-2.006572400687735e-07,2.5360662859827566e-06,nan,nan
2024-04-01 16:09:00+00:00,-0.0004669896763402904,0.0003028009107162841,5.526976586238154e-05,-2.5599839702859973e-05,0.00011059554984974577,-1.3418068562854517e-06,9.920496725835413e-06,2.5790990144030753e-05,4.078059590878812e-07,2.4453729889983132e-06,nan,nan
2024-04-01 16:11:00+00:00,-0.00026277756030863224,-0.0006056935375966874,2.4779858447164757e-05,2.391364497977251e-05,0.00011089712368186029,3.0157383211452536e-07,5.495792494176236e-06,2.4996786332348443e-05,-7.942038116823099e-07,2.305873370887126e-06,nan,nan
2024-04-01 16:12:00+00:00,-0.0007887472474116466,0.0,0.00011439475678641944,1.1244191109099082e-05,7.58922419728627e-05,-3.5004881708997594e-05,9.806208495863939e-06,2.2805676407062634e-05,-2.1911099252858096e-06,2.292612344423667e-06,nan,nan
